geometry,category,handle,status,bedrijfstoestand,functie,subnettype,eigenaar,beheerder,datum_aanleg,netgekoppeld,bovengronds,asset_id,feature_id
"POLYGON ((5.6120035 51.3158951, 5.6119992 51.3158704, 5.6119950 51.3158707, 5.6119600 51.3158730, 5.6119643 51.3158977, 5.6120035 51.3158951))",MSstation,6132,BESTAAND,IN BEDRIJF,NETSTATION,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_6A1B7F6C-1860-45B2-B5CB-7DA5DD5BF89A
"POLYGON ((5.6169365 51.3172053, 5.6169460 51.3172273, 5.6169813 51.3172225, 5.6169754 51.3172068, 5.6169729 51.3172002, 5.6169365 51.3172053))",MSstation,6133,BESTAAND,IN BEDRIJF,NETSTATION,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_D88A1891-4757-46BD-B414-DAC6E6FDCE68
