geometry,category,handle,status,bedrijfstoestand,functie,subnettype,eigenaar,beheerder,datum_aanleg,netgekoppeld,bovengronds,asset_id,feature_id
"LINESTRING (5.6103248 51.3158760, 5.6103359 51.3158976, 5.6103751 51.3159735, 5.6104827 51.3161676, 5.6105070 51.3162170, 5.6105074 51.3162179, 5.6105078 51.3162189, 5.6105083 51.3162198, 5.6105087 51.3162208, 5.6105091 51.3162218, 5.6105096 51.3162227, 5.6105100 51.3162237, 5.6105104 51.3162247, 5.6105108 51.3162256, 5.6105113 51.3162266, 5.6105117 51.3162276, 5.6105121 51.3162285, 5.6105125 51.3162295, 5.6105129 51.3162305, 5.6105133 51.3162314, 5.6105137 51.3162324, 5.6105204 51.3162484, 5.6105208 51.3162495, 5.6105213 51.3162505, 5.6105217 51.3162515, 5.6105221 51.3162526, 5.6105225 51.3162536, 5.6105229 51.3162546, 5.6105233 51.3162557, 5.6105238 51.3162567, 5.6105242 51.3162578, 5.6105246 51.3162588, 5.6105250 51.3162598, 5.6105254 51.3162609, 5.6105258 51.3162619, 5.6105262 51.3162630, 5.6105266 51.3162640, 5.6105270 51.3162650, 5.6105431 51.3163092, 5.6105435 51.3163104, 5.6105439 51.3163116, 5.6105443 51.3163127, 5.6105447 51.3163139, 5.6105452 51.3163151, 5.6105455 51.3163162, 5.6105459 51.3163174, 5.6105463 51.3163186, 5.6105467 51.3163197, 5.6105471 51.3163209, 5.6105475 51.3163221, 5.6105479 51.3163232, 5.6105483 51.3163244, 5.6105487 51.3163256, 5.6105491 51.3163268, 5.6105495 51.3163279, 5.6105557 51.3163472, 5.6105561 51.3163485, 5.6105565 51.3163497, 5.6105568 51.3163510, 5.6105572 51.3163522, 5.6105576 51.3163535, 5.6105580 51.3163547, 5.6105584 51.3163559, 5.6105588 51.3163572, 5.6105592 51.3163584, 5.6105596 51.3163597, 5.6105599 51.3163609, 5.6105603 51.3163622, 5.6105607 51.3163634, 5.6105611 51.3163647, 5.6105614 51.3163659, 5.6105618 51.3163671, 5.6105622 51.3163684, 5.6105626 51.3163697, 5.6105630 51.3163710, 5.6105634 51.3163723, 5.6105638 51.3163735, 5.6105641 51.3163748, 5.6105645 51.3163761, 5.6105649 51.3163774, 5.6105653 51.3163787, 5.6105656 51.3163799, 5.6105660 51.3163812, 5.6105664 51.3163825, 5.6105668 51.3163838, 5.6105671 51.3163851, 5.6105675 51.3163864, 5.6105679 51.3163876, 5.6105739 51.3164087, 5.6105742 51.3164101, 5.6105746 51.3164114, 5.6105750 51.3164128, 5.6105753 51.3164142, 5.6105757 51.3164155, 5.6105761 51.3164169, 5.6105765 51.3164182, 5.6105768 51.3164196, 5.6105772 51.3164209, 5.6105776 51.3164223, 5.6105779 51.3164236, 5.6105783 51.3164250, 5.6105787 51.3164264, 5.6105790 51.3164277, 5.6105794 51.3164291, 5.6105798 51.3164304, 5.6106620 51.3167404, 5.6106757 51.3167885, 5.6108741 51.3175755, 5.6108763 51.3175840, 5.6108777 51.3175926, 5.6108791 51.3176013, 5.6108798 51.3176100, 5.6108805 51.3176187, 5.6108805 51.3176274, 5.6108804 51.3176361, 5.6108797 51.3176449, 5.6108789 51.3176536, 5.6108774 51.3176623, 5.6108759 51.3176709, 5.6108736 51.3176796, 5.6108714 51.3176881, 5.6108684 51.3176966, 5.6108655 51.3177051, 5.6108618 51.3177135, 5.6107144 51.3180512, 5.6102777 51.3190340, 5.6102764 51.3190378)",MSkabel,85EB,BESTAAND,IN BEDRIJF,,DISTRIBUTIE,Netbeheerder,Netbeheerder,1979-05-01,,,{00000000-0000-0000-0000-000000000000},_A683BBDF-7464-4EB8-B5D7-D203F7BBC428
"LINESTRING (5.6148636 51.3155243, 5.6148110 51.3158882, 5.6148115 51.3158984, 5.6148167 51.3159082, 5.6148255 51.3159172, 5.6148347 51.3159213, 5.6148348 51.3159213, 5.6148349 51.3159213, 5.6148349 51.3159213, 5.6148350 51.3159214, 5.6148350 51.3159214, 5.6148351 51.3159214, 5.6148352 51.3159214, 5.6148352 51.3159214, 5.6148353 51.3159214, 5.6148353 51.3159215, 5.6148354 51.3159215, 5.6148355 51.3159215, 5.6148355 51.3159215, 5.6148356 51.3159215, 5.6148357 51.3159215, 5.6148357 51.3159216, 5.6148440 51.3159239, 5.6148441 51.3159239, 5.6148441 51.3159239, 5.6148442 51.3159240, 5.6148442 51.3159240, 5.6148443 51.3159240, 5.6148443 51.3159240, 5.6148444 51.3159241, 5.6148444 51.3159241, 5.6148445 51.3159241, 5.6148445 51.3159241, 5.6148446 51.3159242, 5.6148446 51.3159242, 5.6148447 51.3159242, 5.6148447 51.3159242, 5.6148448 51.3159242, 5.6148448 51.3159243, 5.6148504 51.3159285, 5.6148501 51.3159302, 5.6148414 51.3159952, 5.6148394 51.3159975, 5.6148400 51.3159988, 5.6148473 51.3160021, 5.6148527 51.3160019, 5.6148527 51.3160019, 5.6148528 51.3160019, 5.6148528 51.3160019, 5.6148529 51.3160019, 5.6148529 51.3160019, 5.6148530 51.3160019, 5.6148530 51.3160019, 5.6148531 51.3160019, 5.6148531 51.3160019, 5.6148594 51.3160006, 5.6148595 51.3160006, 5.6148596 51.3160006, 5.6148596 51.3160006, 5.6148597 51.3160006, 5.6148598 51.3160006, 5.6148599 51.3160005, 5.6148599 51.3160005, 5.6148600 51.3160005, 5.6148680 51.3159996, 5.6148681 51.3159996, 5.6148681 51.3159995, 5.6148682 51.3159995, 5.6148683 51.3159995, 5.6148684 51.3159995, 5.6148685 51.3159995, 5.6148686 51.3159995, 5.6148686 51.3159995, 5.6148687 51.3159995, 5.6148688 51.3159995, 5.6148689 51.3159995, 5.6148690 51.3159995, 5.6148691 51.3159995, 5.6148692 51.3159994, 5.6148692 51.3159994, 5.6148693 51.3159994, 5.6148707 51.3159993, 5.6148708 51.3159993, 5.6148709 51.3159993, 5.6148710 51.3159993, 5.6148711 51.3159993, 5.6148712 51.3159992, 5.6148713 51.3159992, 5.6148714 51.3159992, 5.6148715 51.3159992, 5.6148716 51.3159992, 5.6148716 51.3159992, 5.6148717 51.3159992, 5.6148718 51.3159992, 5.6148719 51.3159992, 5.6148720 51.3159992, 5.6148721 51.3159992, 5.6148722 51.3159991, 5.6148944 51.3159978, 5.6148946 51.3159978, 5.6148949 51.3159978, 5.6148951 51.3159978, 5.6148954 51.3159978, 5.6148956 51.3159978, 5.6148958 51.3159978, 5.6148961 51.3159978, 5.6148963 51.3159978, 5.6148966 51.3159978, 5.6148968 51.3159979, 5.6148971 51.3159979, 5.6148973 51.3159979, 5.6148975 51.3159979, 5.6148978 51.3159979, 5.6148980 51.3159979, 5.6148983 51.3159979, 5.6149022 51.3159980, 5.6149025 51.3159980, 5.6149027 51.3159980, 5.6149030 51.3159980, 5.6149032 51.3159980, 5.6149035 51.3159980, 5.6149037 51.3159980, 5.6149040 51.3159980, 5.6149042 51.3159981, 5.6149045 51.3159981, 5.6149047 51.3159981, 5.6149050 51.3159981, 5.6149052 51.3159981, 5.6149055 51.3159981, 5.6149057 51.3159981, 5.6149060 51.3159981, 5.6149062 51.3159981, 5.6149065 51.3159981, 5.6149068 51.3159982, 5.6149070 51.3159982, 5.6149073 51.3159982, 5.6149075 51.3159982, 5.6149078 51.3159982, 5.6149081 51.3159982, 5.6149083 51.3159982, 5.6149086 51.3159982, 5.6149088 51.3159983, 5.6149091 51.3159983, 5.6149093 51.3159983, 5.6149096 51.3159983, 5.6149099 51.3159983, 5.6149101 51.3159983, 5.6149104 51.3159984, 5.6153958 51.3160277, 5.6153960 51.3160277, 5.6153961 51.3160277, 5.6153963 51.3160278, 5.6153965 51.3160278, 5.6153966 51.3160278, 5.6153968 51.3160279, 5.6153970 51.3160279, 5.6153971 51.3160279, 5.6153973 51.3160280, 5.6153974 51.3160280, 5.6153976 51.3160280, 5.6153977 51.3160280, 5.6153979 51.3160281, 5.6153981 51.3160281, 5.6153982 51.3160281, 5.6153984 51.3160282, 5.6154183 51.3160338, 5.6154225 51.3160360, 5.6154227 51.3160362, 5.6154230 51.3160363, 5.6154233 51.3160365, 5.6154235 51.3160367, 5.6154238 51.3160369, 5.6154241 51.3160370, 5.6154243 51.3160372, 5.6154246 51.3160374, 5.6154249 51.3160375, 5.6154251 51.3160377, 5.6154254 51.3160379, 5.6154257 51.3160380, 5.6154259 51.3160382, 5.6154262 51.3160384, 5.6154265 51.3160385, 5.6154267 51.3160387, 5.6154270 51.3160388, 5.6154272 51.3160390, 5.6154274 51.3160391, 5.6154277 51.3160393, 5.6154279 51.3160394, 5.6154281 51.3160396, 5.6154284 51.3160397, 5.6154286 51.3160399, 5.6154288 51.3160400, 5.6154291 51.3160401, 5.6154293 51.3160403, 5.6154295 51.3160404, 5.6154298 51.3160406, 5.6154300 51.3160407, 5.6154302 51.3160409, 5.6154305 51.3160410, 5.6154424 51.3160483, 5.6154482 51.3160479, 5.6155439 51.3160147, 5.6155507 51.3160138, 5.6155549 51.3160156, 5.6155556 51.3160174, 5.6155556 51.3160175, 5.6155556 51.3160175, 5.6155555 51.3160176, 5.6155555 51.3160176, 5.6155555 51.3160177, 5.6155555 51.3160177, 5.6155555 51.3160178, 5.6155554 51.3160178, 5.6155548 51.3160222, 5.6155548 51.3160223, 5.6155548 51.3160223, 5.6155548 51.3160223, 5.6155549 51.3160224, 5.6155549 51.3160224, 5.6155549 51.3160224, 5.6155549 51.3160225, 5.6155549 51.3160225, 5.6155549 51.3160226, 5.6155549 51.3160226, 5.6155549 51.3160226, 5.6155549 51.3160227, 5.6155549 51.3160227, 5.6155549 51.3160227, 5.6155549 51.3160228, 5.6155549 51.3160228, 5.6155551 51.3160247, 5.6155551 51.3160247, 5.6155551 51.3160248, 5.6155551 51.3160249, 5.6155552 51.3160249, 5.6155552 51.3160250, 5.6155552 51.3160251, 5.6155552 51.3160251, 5.6155552 51.3160252, 5.6155552 51.3160253, 5.6155552 51.3160253, 5.6155553 51.3160254, 5.6155553 51.3160255, 5.6155553 51.3160255, 5.6155553 51.3160256, 5.6155553 51.3160257, 5.6155553 51.3160257, 5.6155556 51.3160267, 5.6155556 51.3160268, 5.6155556 51.3160269, 5.6155556 51.3160269, 5.6155556 51.3160270, 5.6155556 51.3160270, 5.6155557 51.3160271, 5.6155557 51.3160272, 5.6155557 51.3160272, 5.6155557 51.3160273, 5.6155557 51.3160274, 5.6155557 51.3160274, 5.6155557 51.3160275, 5.6155558 51.3160275, 5.6155558 51.3160276, 5.6155558 51.3160277, 5.6155558 51.3160277, 5.6155558 51.3160278, 5.6155558 51.3160278, 5.6155559 51.3160279, 5.6155559 51.3160280, 5.6155559 51.3160280, 5.6155559 51.3160281, 5.6155559 51.3160282, 5.6155559 51.3160282, 5.6155559 51.3160283, 5.6155560 51.3160283, 5.6155560 51.3160284, 5.6155560 51.3160285, 5.6155560 51.3160285, 5.6155560 51.3160286, 5.6155560 51.3160286, 5.6155561 51.3160287, 5.6155577 51.3160339, 5.6155577 51.3160340, 5.6155578 51.3160340, 5.6155578 51.3160341, 5.6155578 51.3160341, 5.6155578 51.3160342, 5.6155578 51.3160342, 5.6155578 51.3160343, 5.6155579 51.3160343, 5.6155579 51.3160344, 5.6155579 51.3160344, 5.6155579 51.3160345, 5.6155580 51.3160345, 5.6155580 51.3160346, 5.6155580 51.3160346, 5.6155580 51.3160347, 5.6155580 51.3160347, 5.6155588 51.3160366, 5.6155589 51.3160367, 5.6155589 51.3160368, 5.6155590 51.3160369, 5.6155591 51.3160369, 5.6155591 51.3160370, 5.6155592 51.3160371, 5.6155593 51.3160372, 5.6155593 51.3160373, 5.6155594 51.3160374, 5.6155594 51.3160375, 5.6155595 51.3160376, 5.6155596 51.3160377, 5.6155596 51.3160378, 5.6155597 51.3160379, 5.6155597 51.3160380, 5.6155598 51.3160380, 5.6155650 51.3160452, 5.6155651 51.3160453, 5.6155652 51.3160454, 5.6155652 51.3160455, 5.6155653 51.3160456, 5.6155654 51.3160457, 5.6155655 51.3160458, 5.6155655 51.3160459, 5.6155656 51.3160460, 5.6155657 51.3160461, 5.6155657 51.3160461, 5.6155658 51.3160462, 5.6155659 51.3160463, 5.6155659 51.3160464, 5.6155660 51.3160465, 5.6155661 51.3160466, 5.6155661 51.3160467, 5.6156759 51.3161598, 5.6156823 51.3161664, 5.6156881 51.3161732, 5.6156940 51.3161800, 5.6156992 51.3161870, 5.6157045 51.3161940, 5.6157091 51.3162012, 5.6157138 51.3162084, 5.6157178 51.3162158, 5.6157219 51.3162231, 5.6157252 51.3162306, 5.6157286 51.3162381, 5.6157313 51.3162456, 5.6157340 51.3162532, 5.6157360 51.3162608, 5.6157380 51.3162684, 5.6157394 51.3162761, 5.6157887 51.3165522, 5.6157927 51.3165655, 5.6157929 51.3165659, 5.6157930 51.3165663, 5.6157932 51.3165667, 5.6157933 51.3165671, 5.6157935 51.3165675, 5.6157936 51.3165679, 5.6157937 51.3165683, 5.6157939 51.3165687, 5.6157941 51.3165691, 5.6157942 51.3165695, 5.6157944 51.3165699, 5.6157945 51.3165703, 5.6157947 51.3165707, 5.6157948 51.3165711, 5.6157950 51.3165715, 5.6157951 51.3165719, 5.6158038 51.3165907, 5.6158190 51.3166142, 5.6158192 51.3166145, 5.6158194 51.3166147, 5.6158196 51.3166150, 5.6158198 51.3166152, 5.6158200 51.3166155, 5.6158202 51.3166157, 5.6158205 51.3166160, 5.6158207 51.3166162, 5.6158209 51.3166165, 5.6158211 51.3166167, 5.6158213 51.3166170, 5.6158215 51.3166172, 5.6158217 51.3166175, 5.6158219 51.3166177, 5.6158221 51.3166180, 5.6158223 51.3166182, 5.6158376 51.3166350, 5.6158379 51.3166352, 5.6158382 51.3166355, 5.6158384 51.3166358, 5.6158387 51.3166360, 5.6158390 51.3166363, 5.6158393 51.3166366, 5.6158395 51.3166369, 5.6158398 51.3166371, 5.6158401 51.3166374, 5.6158404 51.3166377, 5.6158406 51.3166379, 5.6158409 51.3166382, 5.6158412 51.3166385, 5.6158415 51.3166388, 5.6158417 51.3166390, 5.6158420 51.3166393, 5.6158514 51.3166482, 5.6160204 51.3167765, 5.6160591 51.3168077, 5.6160597 51.3168082, 5.6160603 51.3168087, 5.6160610 51.3168092, 5.6160616 51.3168097, 5.6160622 51.3168102, 5.6160628 51.3168107, 5.6160635 51.3168112, 5.6160641 51.3168116, 5.6160647 51.3168121, 5.6160654 51.3168126, 5.6160660 51.3168131, 5.6160667 51.3168136, 5.6160673 51.3168141, 5.6160679 51.3168146, 5.6160685 51.3168151, 5.6160692 51.3168156, 5.6161218 51.3168568, 5.6161237 51.3168583, 5.6161255 51.3168598, 5.6161274 51.3168612, 5.6161293 51.3168627, 5.6161313 51.3168642, 5.6161332 51.3168657, 5.6161350 51.3168672, 5.6161369 51.3168687, 5.6161388 51.3168702, 5.6161407 51.3168716, 5.6161426 51.3168731, 5.6161445 51.3168746, 5.6161464 51.3168761, 5.6161483 51.3168776, 5.6161502 51.3168791, 5.6161521 51.3168806, 5.6161578 51.3168850, 5.6161600 51.3168867, 5.6161621 51.3168884, 5.6161642 51.3168900, 5.6161663 51.3168917, 5.6161685 51.3168933, 5.6161706 51.3168950, 5.6161727 51.3168967, 5.6161748 51.3168983, 5.6161770 51.3169000, 5.6161791 51.3169016, 5.6161812 51.3169033, 5.6161833 51.3169050, 5.6161855 51.3169066, 5.6161876 51.3169083, 5.6161897 51.3169100, 5.6161918 51.3169116, 5.6161921 51.3169118, 5.6161923 51.3169119, 5.6161925 51.3169121, 5.6161927 51.3169123, 5.6161929 51.3169124, 5.6161931 51.3169126, 5.6161933 51.3169127, 5.6161935 51.3169129, 5.6161937 51.3169131, 5.6161939 51.3169132, 5.6161941 51.3169134, 5.6161944 51.3169136, 5.6161946 51.3169137, 5.6161948 51.3169139, 5.6161950 51.3169140, 5.6161952 51.3169142, 5.6162036 51.3169210, 5.6162038 51.3169211, 5.6162039 51.3169212, 5.6162041 51.3169213, 5.6162042 51.3169215, 5.6162044 51.3169216, 5.6162045 51.3169217, 5.6162047 51.3169219, 5.6162048 51.3169220, 5.6162050 51.3169221, 5.6162051 51.3169222, 5.6162053 51.3169224, 5.6162054 51.3169225, 5.6162056 51.3169226, 5.6162057 51.3169227, 5.6162059 51.3169229, 5.6162060 51.3169230, 5.6162127 51.3169286, 5.6162128 51.3169287, 5.6162130 51.3169288, 5.6162131 51.3169289, 5.6162132 51.3169290, 5.6162133 51.3169291, 5.6162135 51.3169292, 5.6162136 51.3169294, 5.6162137 51.3169295, 5.6162138 51.3169296, 5.6162140 51.3169297, 5.6162141 51.3169298, 5.6162142 51.3169299, 5.6162143 51.3169300, 5.6162145 51.3169301, 5.6162146 51.3169302, 5.6162147 51.3169303, 5.6162201 51.3169351, 5.6162202 51.3169352, 5.6162203 51.3169352, 5.6162204 51.3169353, 5.6162205 51.3169354, 5.6162206 51.3169355, 5.6162207 51.3169356, 5.6162208 51.3169357, 5.6162209 51.3169358, 5.6162210 51.3169359, 5.6162210 51.3169360, 5.6162211 51.3169360, 5.6162212 51.3169361, 5.6162213 51.3169362, 5.6162214 51.3169363, 5.6162215 51.3169364, 5.6162216 51.3169365, 5.6162244 51.3169389, 5.6162271 51.3169413, 5.6162298 51.3169437, 5.6162323 51.3169462, 5.6162349 51.3169487, 5.6162373 51.3169513, 5.6162398 51.3169539, 5.6162421 51.3169565, 5.6162444 51.3169591, 5.6162466 51.3169618, 5.6162488 51.3169645, 5.6162509 51.3169673, 5.6162530 51.3169700, 5.6162549 51.3169728, 5.6162569 51.3169756, 5.6162587 51.3169784, 5.6163087 51.3170566, 5.6163090 51.3170570, 5.6163095 51.3170575, 5.6163099 51.3170579, 5.6163105 51.3170583, 5.6163110 51.3170587, 5.6163117 51.3170591, 5.6163123 51.3170595, 5.6163130 51.3170598, 5.6163137 51.3170601, 5.6163145 51.3170604, 5.6163152 51.3170606, 5.6163160 51.3170608, 5.6163168 51.3170610, 5.6163176 51.3170611, 5.6163185 51.3170613, 5.6163193 51.3170613, 5.6165373 51.3170621, 5.6167052 51.3170806, 5.6169623 51.3170996, 5.6169739 51.3171072, 5.6169740 51.3171073, 5.6169740 51.3171074, 5.6169740 51.3171075, 5.6169740 51.3171076, 5.6169740 51.3171078, 5.6169740 51.3171079, 5.6169740 51.3171080, 5.6169740 51.3171081, 5.6169740 51.3171082, 5.6169740 51.3171083, 5.6169740 51.3171085, 5.6169740 51.3171086, 5.6169739 51.3171087, 5.6169739 51.3171088, 5.6169739 51.3171089, 5.6169739 51.3171091, 5.6169564 51.3171882, 5.6169690 51.3171934, 5.6169822 51.3171981, 5.6169829 51.3171986, 5.6169833 51.3171992, 5.6169839 51.3171999, 5.6169840 51.3172006, 5.6169842 51.3172014, 5.6169840 51.3172022, 5.6169839 51.3172030, 5.6169833 51.3172038, 5.6169827 51.3172046, 5.6169817 51.3172052, 5.6169808 51.3172057, 5.6169797 51.3172061, 5.6169786 51.3172065, 5.6169775 51.3172067, 5.6169764 51.3172068, 5.6169754 51.3172068)",MSkabel,866C,BESTAAND,IN BEDRIJF,,DISTRIBUTIE,Netbeheerder,,,,,{00000000-0000-0000-0000-000000000000},_EB417C7C-2459-40B7-89C3-E11BDAD65C09
"LINESTRING (5.6122278 51.3155294, 5.6122588 51.3155964, 5.6122725 51.3156350, 5.6122786 51.3156552, 5.6123108 51.3157612, 5.6123111 51.3157623, 5.6123114 51.3157634, 5.6123117 51.3157645, 5.6123121 51.3157656, 5.6123124 51.3157667, 5.6123127 51.3157678, 5.6123130 51.3157689, 5.6123133 51.3157700, 5.6123136 51.3157711, 5.6123138 51.3157723, 5.6123141 51.3157734, 5.6123144 51.3157745, 5.6123147 51.3157756, 5.6123149 51.3157767, 5.6123152 51.3157778, 5.6123154 51.3157789, 5.6123172 51.3157869, 5.6123296 51.3158427, 5.6123298 51.3158433, 5.6123297 51.3158440, 5.6123296 51.3158447, 5.6123292 51.3158454, 5.6123288 51.3158461, 5.6123281 51.3158467, 5.6123274 51.3158474, 5.6123265 51.3158479, 5.6123255 51.3158484, 5.6123244 51.3158488, 5.6123233 51.3158491, 5.6123221 51.3158492, 5.6123210 51.3158493, 5.6123199 51.3158493, 5.6123188 51.3158493, 5.6123178 51.3158491, 5.6123055 51.3158468, 5.6122855 51.3158429, 5.6122652 51.3158396, 5.6122449 51.3158362, 5.6122243 51.3158334, 5.6122037 51.3158306, 5.6121830 51.3158283, 5.6121622 51.3158261, 5.6121412 51.3158244, 5.6121203 51.3158227, 5.6120993 51.3158217, 5.6120783 51.3158206, 5.6120572 51.3158201, 5.6120362 51.3158196, 5.6120152 51.3158197, 5.6119942 51.3158198, 5.6119733 51.3158204, 5.6119697 51.3158207, 5.6119684 51.3158208, 5.6119672 51.3158210, 5.6119658 51.3158212, 5.6119646 51.3158217, 5.6119633 51.3158221, 5.6119622 51.3158227, 5.6119610 51.3158232, 5.6119601 51.3158240, 5.6119592 51.3158247, 5.6119585 51.3158255, 5.6119578 51.3158263, 5.6119574 51.3158272, 5.6119571 51.3158281, 5.6119570 51.3158289, 5.6119569 51.3158298, 5.6119570 51.3158306, 5.6119643 51.3158727)",MSkabel,88BF,BESTAAND,IN BEDRIJF,,,Netbeheerder,Netbeheerder,1998-03-02,,,{00000000-0000-0000-0000-000000000000},_97D5D97B-619F-4FF8-8CFB-08F5F009B655
"LINESTRING (5.6103248 51.3158760, 5.6102858 51.3158225, 5.6102177 51.3157591, 5.6101769 51.3156977, 5.6101251 51.3156206, 5.6100855 51.3155483, 5.6100784 51.3155336)",MSkabel,890B,BESTAAND,IN BEDRIJF,,,Netbeheerder,Netbeheerder,2001-06-27,,,{00000000-0000-0000-0000-000000000000},_B76FEDE0-495E-44D1-8C80-614BB6744F71
"LINESTRING (5.6169754 51.3172068, 5.6169764 51.3172068, 5.6169775 51.3172067, 5.6169786 51.3172065, 5.6169797 51.3172061, 5.6169808 51.3172057, 5.6169817 51.3172052, 5.6169827 51.3172046, 5.6169833 51.3172038, 5.6169839 51.3172030, 5.6169840 51.3172022, 5.6169842 51.3172014, 5.6169840 51.3172006, 5.6169839 51.3171999, 5.6169833 51.3171992, 5.6169829 51.3171986, 5.6169822 51.3171981, 5.6169690 51.3171934, 5.6169564 51.3171882, 5.6169739 51.3171091, 5.6169739 51.3171089, 5.6169739 51.3171088, 5.6169739 51.3171087, 5.6169740 51.3171086, 5.6169740 51.3171085, 5.6169740 51.3171083, 5.6169740 51.3171082, 5.6169740 51.3171081, 5.6169740 51.3171080, 5.6169740 51.3171079, 5.6169740 51.3171078, 5.6169740 51.3171076, 5.6169740 51.3171075, 5.6169740 51.3171074, 5.6169740 51.3171073, 5.6169739 51.3171072, 5.6169743 51.3171065, 5.6169747 51.3171059, 5.6169752 51.3171053, 5.6169757 51.3171048, 5.6169763 51.3171042, 5.6169770 51.3171037, 5.6169778 51.3171032, 5.6169786 51.3171028, 5.6169794 51.3171023, 5.6169803 51.3171019, 5.6169813 51.3171016, 5.6169823 51.3171013, 5.6169832 51.3171010, 5.6169843 51.3171008, 5.6169853 51.3171006, 5.6169863 51.3171005, 5.6172197 51.3171207, 5.6172212 51.3171207, 5.6172227 51.3171208, 5.6172243 51.3171209, 5.6172258 51.3171209, 5.6172273 51.3171210, 5.6172288 51.3171210, 5.6172303 51.3171210, 5.6172319 51.3171210, 5.6172334 51.3171211, 5.6172349 51.3171211, 5.6172364 51.3171211, 5.6172379 51.3171211, 5.6172394 51.3171211, 5.6172410 51.3171210, 5.6172425 51.3171210, 5.6172440 51.3171210)",MSkabel,8914,BESTAAND,IN BEDRIJF,,,Netbeheerder,,,,,{00000000-0000-0000-0000-000000000000},_C666E57B-259A-49BC-BBE0-2D7AD2BF7EB2
"LINESTRING (5.6122278 51.3155294, 5.6122588 51.3155964, 5.6122725 51.3156350, 5.6122786 51.3156552, 5.6123108 51.3157612, 5.6123111 51.3157623, 5.6123114 51.3157634, 5.6123117 51.3157645, 5.6123121 51.3157656, 5.6123124 51.3157667, 5.6123127 51.3157678, 5.6123130 51.3157689, 5.6123133 51.3157700, 5.6123136 51.3157711, 5.6123138 51.3157723, 5.6123141 51.3157734, 5.6123144 51.3157745, 5.6123147 51.3157756, 5.6123149 51.3157767, 5.6123152 51.3157778, 5.6123154 51.3157789, 5.6123172 51.3157869, 5.6123296 51.3158427, 5.6123298 51.3158433, 5.6123297 51.3158440, 5.6123296 51.3158447, 5.6123292 51.3158454, 5.6123288 51.3158461, 5.6123281 51.3158467, 5.6123274 51.3158474, 5.6123265 51.3158479, 5.6123255 51.3158484, 5.6123244 51.3158488, 5.6123233 51.3158491, 5.6123221 51.3158492, 5.6123210 51.3158493, 5.6123199 51.3158493, 5.6123188 51.3158493, 5.6123178 51.3158491, 5.6123055 51.3158468, 5.6122855 51.3158429, 5.6122652 51.3158396, 5.6122449 51.3158362, 5.6122243 51.3158334, 5.6122037 51.3158306, 5.6121830 51.3158283, 5.6121622 51.3158261, 5.6121412 51.3158244, 5.6121203 51.3158227, 5.6120993 51.3158217, 5.6120783 51.3158206, 5.6120572 51.3158201, 5.6120362 51.3158196, 5.6120152 51.3158197, 5.6119942 51.3158198, 5.6119733 51.3158204, 5.6119697 51.3158207, 5.6119684 51.3158208, 5.6119672 51.3158210, 5.6119658 51.3158212, 5.6119646 51.3158217, 5.6119633 51.3158221, 5.6119622 51.3158227, 5.6119610 51.3158232, 5.6119601 51.3158240, 5.6119592 51.3158247, 5.6119585 51.3158255, 5.6119578 51.3158263, 5.6119574 51.3158272, 5.6119571 51.3158281, 5.6119570 51.3158289, 5.6119569 51.3158298, 5.6119570 51.3158306, 5.6119643 51.3158727)",MSkabel,895B,BESTAAND,IN BEDRIJF,,,Netbeheerder,Netbeheerder,1998-03-02,,,{00000000-0000-0000-0000-000000000000},_7E1C9FA0-CCA8-45AD-B6EE-5384178D9B0C
